question,answer
"Kem này có tốt không?","Dạ sản phẩm được nhiều chị em review tốt lắm ạ. Bạn cho em biết loại da để em tư vấn phù hợp nhé"
"Da dầu dùng được không?","Dạ được ạ, sản phẩm phù hợp mọi loại da kể cả da dầu"
"Có hàng chính hãng không?","100% hàng chính hãng, có tem chống giả, bạn yên tâm ạ"
"Giá bao nhiêu?","Dạ bạn cho em biết sản phẩm nào để em báo giá chính xác ạ"
"Ship bao lâu?","Ship nội thành 1-2 ngày, ngoại thành 3-5 ngày ạ"
"Có COD không?","Có COD nha bạn, nhận hàng rồi trả tiền ạ"
"Đổi trả thế nào?","Đổi trả trong 7 ngày nếu sản phẩm lỗi hoặc không đúng mô tả ạ"
"Có freeship không?","Freeship cho đơn từ 300k nha bạn"
"Hạn sử dụng?","Dạ sản phẩm còn hạn sử dụng dài, bạn yên tâm ạ. Em gửi ảnh date cho bạn nhé"
"Mua combo có giảm không?","Dạ mua combo 2 sản phẩm giảm 10%, 3 sản phẩm giảm 15% ạ"
"Dùng bao lâu thấy hiệu quả?","Dạ thường 2-4 tuần sẽ thấy cải thiện rõ rệt ạ"
"Có tester không?","Dạ shop có bán size mini/tester để bạn dùng thử ạ"
"Đặt hàng thế nào?","Bạn gửi em: Tên + SĐT + Địa chỉ + Sản phẩm là em đặt luôn ạ"
"Thanh toán bằng gì?","Shop nhận chuyển khoản ngân hàng và COD ạ"
